Waktu ,SKU,Nama Barang,Jumlah Keluar,Harga Jual,Total,Catatan
01/09/18 02:38 AM,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,"Rp115,000","Rp115,000",Pesanan ID-20180109-853724
01/09/18 02:38 AM,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,"Rp125,000","Rp125,000",Pesanan ID-20180109-853724
01/09/18 02:07 AM,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",2,"Rp115,000","Rp230,000",Pesanan ID-20180108-149680
01/08/18 10:05 PM,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,"Rp125,000","Rp125,000",Pesanan ID-20180108-548167
01/08/18 10:05 PM,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,"Rp115,000","Rp115,000",Pesanan ID-20180108-548167
01/08/18 09:37 PM,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,"Rp120,000","Rp120,000",Pesanan ID-20180108-901847
01/08/18 03:26 PM,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,"Rp110,000","Rp110,000",Pesanan ID-20180108-170723
01/08/18 03:26 PM,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",1,"Rp130,000","Rp130,000",Pesanan ID-20180108-170723
01/08/18 11:46 AM,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,"Rp110,000","Rp110,000",Pesanan ID-20180108-268141
01/08/18 11:41 AM,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,"Rp130,000","Rp130,000",Pesanan ID-20180108-750817
01/08/18 10:32 AM,SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",1,"Rp130,000","Rp130,000",Pesanan ID-20180108-921818
01/08/18 10:09 AM,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,"Rp120,000","Rp120,000",Pesanan ID-20180108-054736
01/08/18 09:51 AM,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,"Rp115,000","Rp115,000",Pesanan ID-20180108-771439
01/08/18 08:12 AM,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,"Rp130,000","Rp130,000",Pesanan ID-20180108-514947
01/08/18 08:12 AM,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,"Rp130,000","Rp130,000",Pesanan ID-20180108-514947
01/08/18 07:18 AM,SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",1,"Rp130,000","Rp130,000",Pesanan ID-20180108-300302
01/08/18 05:14 AM,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,"Rp120,000","Rp120,000",Pesanan ID-20180108-314485
01/08/18 05:14 AM,SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",1,"Rp115,000","Rp115,000",Pesanan ID-20180108-314485
01/08/18 05:08 AM,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,"Rp130,000","Rp130,000",Pesanan ID-20180108-712081
01/08/18 04:43 AM,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,"Rp115,000","Rp115,000",Pesanan ID-20180108-290736
01/08/18 04:43 AM,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,"Rp115,000","Rp115,000",Pesanan ID-20180108-290736
01/08/18 03:54 AM,SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",1,"Rp110,000","Rp110,000",Pesanan ID-20180108-516025
01/08/18 03:42 AM,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",1,"Rp125,000","Rp125,000",Pesanan ID-20180108-232069
01/08/18 02:52 AM,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,"Rp110,000","Rp110,000",Pesanan ID-20180108-787015
01/08/18 01:06 AM,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,"Rp110,000","Rp110,000",Pesanan ID-20180108-806361
01/08/18 01:06 AM,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",1,"Rp115,000","Rp115,000",Pesanan ID-20180108-806361
01/07/18 11:04 PM,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,"Rp130,000","Rp130,000",Pesanan ID-20180107-158796
01/07/18 07:19 PM,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,"Rp130,000","Rp130,000",Pesanan ID-20180107-954171
